Date,Code,Rev,Res
2020-02-06,PSBY,0.0,0.0
2020-02-06,RA,1214.0,6.0
2020-02-06,SP,6275.65,37.0
2020-02-06,WH,1525.0,15.0
2020-02-07,AR,0.0,0.0
2020-02-07,CO,0.0,0.0
2020-02-07,CS,131.57,1.0
2020-02-07,CT,0.0,0.0
2020-02-07,FIX,0.0,0.0
2020-02-07,GC,1449.0,9.0
2020-02-07,GE,0.0,0.0
2020-02-07,GL,0.0,0.0
2020-02-07,GS,0.0,0.0
2020-02-07,GV,0.0,0.0
2020-02-07,HSE,0.0,0.0
2020-02-07,NG,1865.56,12.0
2020-02-07,OP,1185.5,21.0
2020-02-07,OT,17975.19,132.0
2020-02-07,PK,333.65,2.0
2020-02-07,PSBY,0.0,0.0
2020-02-07,RA,398.0,2.0
2020-02-07,SP,8204.35,53.0
2020-02-07,WH,1129.0,11.0
2020-02-08,AR,0.0,0.0
2020-02-08,CO,0.0,0.0
2020-02-08,CS,160.97,1.0
2020-02-08,CT,0.0,0.0
2020-02-08,FIX,0.0,0.0
2020-02-08,GC,1224.0,8.0
2020-02-08,GE,0.0,0.0
2020-02-08,GL,0.0,0.0
2020-02-08,GS,0.0,0.0
2020-02-08,GV,0.0,0.0
2020-02-08,HSE,0.0,0.0
2020-02-08,NG,1993.69,13.0
2020-02-08,OP,1239.75,21.0
2020-02-08,OT,18014.96,134.0
2020-02-08,PK,484.05,3.0
2020-02-08,PSBY,0.0,0.0
2020-02-08,RA,565.0,3.0
2020-02-08,SP,8748.88,55.0
2020-02-08,WH,1050.0,10.0
2020-02-09,AR,0.0,0.0
2020-02-09,CO,0.0,0.0
2020-02-09,CS,109.07,1.0
2020-02-09,CT,0.0,0.0
2020-02-09,FIX,0.0,0.0
2020-02-09,GC,1783.0,11.0
2020-02-09,GE,0.0,0.0
2020-02-09,GL,0.0,0.0
2020-02-09,GS,0.0,0.0
2020-02-09,GV,0.0,0.0
2020-02-09,HSE,0.0,0.0
2020-02-09,NG,2960.94,21.0
2020-02-09,OP,717.4,12.0
